,ac,dc_norm,dc
Sharp_ND_167U1_2003_E_,1181.5841870937343,1255.617519482072,209499.78312558372
Sharp_ND_167U1F__2006_,1181.771414177008,1254.987932836092,214024.0733309511
Sharp_ND_167U1F_2006_E_,1180.3263118802006,1254.26652666114,209452.35039354445
Sharp_ND_187U1F_2007_E_,1184.330820634653,1254.4187909679142,234639.03485054837
Sharp_ND_208U1_2005_E_,1187.2513916258315,1254.1127639338995,260918.16053644774
Sharp_ND_208U1F_2006_E_,1187.6871038881584,1254.5520467743186,261131.87215595754
Sharp_ND_216U1F_2008_E_,1189.1139936061656,1254.9439921657954,271283.7526744643
Sharp_ND_216U2_2007_E_,1188.7380881617632,1254.5520467743186,271216.96514956694
Sharp_ND_L3E1U_2002_E_,1167.274973561927,1254.2031052148927,154457.6208134245
Sharp_ND_L3E6E_2004_E_,1167.274973561927,1254.2031052148927,154457.6208134245
Sharp_ND_NOECU_2003_E_,1179.3126379048547,1260.4336722073438,176522.47535896627
Sharp_ND_Q0E2U_2002_E_,1184.61350259587,1260.308122999853,201719.87693486444
